ID,author,title,year,journal,volume,number,pages,url,doi
157,Zhan Shi and Andrew B Whinston,Network Structure and Observational Learning: Evidence from a Location-Based Social Network,,Journal of Management Information Systems,30,2,,,10.2753/MIS0742-1222300207
158,,,,Journal of Management Information Systems,29,1,,,10.2753/MIS0742-1222290101
159,Jahangir Karimi and Yash P Gupta and Tonim Somers,The Congruence between a Firm's Competitive Strategy and Information Technology Leader's Rank and Role,,Journal of Management Information Systems,13,1,,,
160,Andrew H Gold and Arvind Malhotra and Albert H Segars,Knowledge Management: An Organizational Capabilities Perspective,,Journal of Management Information Systems,18,1,,,
161,Robert J Kauffman and Tridas Mukhopadhyay,Special Section: Realizing Value from Information Technology Investment,,Journal of Management Information Systems,10,1,,,
162,Xusen Cheng,"Trust Development in Globally Distributed Collaboration: A Case of U.S. and Chinese Mixed Teams XUSEN CHENG, SHIXUAN FU, AND DOUGLAS DRUCKENMILLER",,Journal of Management Information Systems,33,4,,,10.1080/07421222.2016.1267521
163,Jee-Hae Lim and Theophanis C Stratopoulos and Tony S Wirjanto,Path Dependence of Dynamic Information Technology Capability: An Empirical Investigation,,Journal of Management Information Systems,28,3,,,10.2753/MIS0742-1222280302
164,Christophe Elie-Dit-Cosaque and Jessie Pallud and Michel Kalika,"The Influence of Individual, Contextual, and Social Factors on Perceived Behavioral Control of Information Technology: A Field Theory Approach",,Journal of Management Information Systems,28,3,,,10.2753/MIS0742-1222280306
165,Yunjie Xu and Hee-Woong Kim and Kankanhalli Yunjie and Calvin Xu,Task and Social Information Seeking: Whom Do We Prefer and Whom Do We Approach?,,Journal of Management Information Systems,27,3,,,10.2753/MIS0742-1222270308
166,Dinesh Batra,A Method for Easing Normalization of User Views DINESHBATRA,,Journal of Management Information Systems,14,1,,,
167,Narayan Ramasubbu and Chris F Kemerer and Joseph M Katz,Controlling Technical Debt Remediation in Outsourced Enterprise Systems Maintenance: An Empirical Analysis,,Journal of Management Information Systems,38,1,,,10.1080/07421222.2021.1870377
168,David C Robertson,Social Determinants of Information Systems Use',,Journal of Management Information Systems,5,4,,,
169,Feng Mai and Zhe Shan and Qing Bai and Shane Wang and Roger H L Chiang and Carl H Lindner,How Does Social Media Impact Bitcoin Value? A Test of the Silent Majority Hypothesis,,Journal of Management Information Systems,35,1,,,10.1080/07421222.2018.1440774
170,Rajiv M Dewan and Marshall L Freimer and Yabing Jiang,A Temporary Monopolist: Taking Advantage of Information Transparency on the Web,,Journal of Management Information Systems,24,2,,,10.2753/MIS0742-1222240207
171,D. Banker and Robert J Kauffman and Rachna Kumar,An Empirical Test of Object-based Output Measurement Metrics in a Computer Aided Software Engineering (CASE) Environment,,Journal of Management Information Systems,8,3,,,
172,Michiel Van Genuchten,"Supporting Inspections with an Electronic Meeting System MICHIEL VAN GENUCHTEN, WIEGER CORNELISSEN, AND COR VAN DUK",,Journal of Management Information Systems,14,3,,,
173,Bruce A Reinig,Toward an Understanding of Satisfaction with the Process and Outcomes of Teamwork,,Journal of Management Information Systems,19,4,,,
174,Eldon Y Li,"Stress Dynamics of Information Systems Managers: A Contingency Model ELDON Y. LI and ABRAHAM B, (RAMI) SHANI",,Journal of Management Information Systems,7,4,,,
175,H. James Nelson and Deborah J Armstrong and Kay M Nelson,Patterns of Transition: The Shift from Traditional to Object-Oriented Development,,Journal of Management Information Systems,25,4,,,10.2753/MIS0742-1222250409
176,Maryam Ghasemaghaei and Ofir Turel,Why Do Data Analysts Take IT-Mediated Shortcuts? An Ego-Depletion Perspective,,Journal of Management Information Systems,39,2,,,10.1080/07421222.2022.2063558
177,Aleksi Aaltonen and Cristina Alaimo and Jannis Kallinikos,The Making of Data Commodities: Data Analytics as an Embedded Process,,Journal of Management Information Systems,38,2,,,10.1080/07421222.2021.1912928
178,Shirley Ou Yang and Caro_ Hsu and Allen S Lee,"|\® Check for updates Enabling Effective Operational Risk Management in a Financial Institution: An Action Research Study SHIRLEY OU YANG, CAROL HSU, SUPRATEEK SARKER, AND ALLEN S. LEE",,Journal of Management Information Systems,34,3,,,10.1080/07421222.2017.1373006
179,Indranil R Bardhan,"Prioritizing a Portfolio of Information Technology Investment Projects INDRANIL BARDHAN, SUGATO BAGCHI, AND RYAN SOUGSTAD",,Journal of Management Information Systems,21,2,,,
180,David M Steiger,Enhancing User Understanding in a Decision Support System: A Theoretical Basis and Framework,,Journal of Management Information Systems,15,2,,,
181,Marjorie Horton and Kevin Biolsi,Coordination Challenges in a Computer-Supported Meeting Environment,,Journal of Management Information Systems,10,3,,,
182,Christina W Y Wong and Kee-Hung Lai and T. C E Cheng,Value of Information Integration to Supply Chain Management: Roles of Internal and External Contingencies,,Journal of Management Information Systems,28,3,,,10.2753/MIS0742-1222280305
183,,Examining Hacker Participation Length in Cybercriminal Internet-Relay-Chat Communities,,Journal of Management Information Systems,33,2,,,10.1080/07421222.2016.1205918
184,Aaron Baird and Michael F Furukawa and T. S Raghu,Understanding Contingencies Associated with the Early Adoption of Customer-Facing Web Portals,,Journal of Management Information Systems,29,2,,,10.2753/MIS0742-1222290210
185,Ali R Montazemi and David A Cameron and Moy Gupta and Ali R Montazfiml,An Empirical Study of Factors Affecting Software Package Selection,,Journal of Management Information Systems,13,1,,,
186,Jerry L Maier and R. Kelly and Charles A Snyder and R. Kelly Rainkr and Hugh Watson and George Houdeshel and Houston Carr,Environmental Scanning for Information Technology: An Empirical Investigation,,Journal of Management Information Systems,14,2,,,
187,Ofer Arazy and Oded Nov and Raymond Patterson and Lisa Yeo,Information Quality in Wikipedia: The Effects of Group Composition and Task Conflict,,Journal of Management Information Systems,27,4,,,10.2753/MIS0742-1222270403
188,Jay F Nunamaker and Lynda M Applegate and Benn R Konsynski,Facilitating Group Creativity: Experience with a Group Decision Support System,,Journal of Management Information Systems,3,4,,,
189,Eric K Clemons and Rajiv M Dewan and Robert J Kauffman and Thomas A Weber,Understanding the Information-Based Transformation of Strategy and Society,,Journal of Management Information Systems,34,2,,,10.1080/07421222.2017.1334474
190,Brian L Dos and Santos Brian and L. Dos Santos,Justifying Investments in New Information Technologies,,Journal of Management Information Systems,7,4,,,
191,Danish H Saifee and Indranil R Bardhan and Atanu Lahiri,"Adherence to Clinical Guidelines, Electronic Health Record Use, and Online Reviews",,Journal of Management Information Systems,36,4,,,10.1080/07421222.2019.1661093
192,John Hulland and Michael R Wade and Kersi D Antia,The Impact of Capabilities and Prior Investments on Online Channel Commitment and Performance,,Journal of Management Information Systems,23,4,,,10.2753/MIS0742-1222230406
193,Weiquan Wang,Empirical Assessment of Alternative Designs for Enhancing Different Types of Trusting Beliefs in Online Recommendation Agents WEIQUAN WANG AND IZAK BENBASAT,,Journal of Management Information Systems,33,3,,,10.1080/07421222.2016.1243949
194,,,,Journal of Management Information Systems,21,4,,,
195,Lini Kuang and N. I Huang and Yili Hong and Yan Lini Kuang,Spillover Effects of Financial Incentives on Non-Incentivized User Engagement: Evidence from an Online Knowledge Exchange Platform,,Journal of Management Information Systems,36,1,,,10.1080/07421222.2018.1550564
196,Rajiv M Dewan and Marshall L Freimer and Abraham Seidmann and Jie Zhang,Web Portals: Evidence and Analysis of Media Concentration,,Journal of Management Information Systems,21,2,,,
197,Dick Stenmark,Organizational Knowledge,,Journal of Management Information Systems,17,3,,,
198,Jay F Nunamaker and Benn R Konsynskl and Minder Chen and Ajay S Vinze and Y. Irene and Liou Chen and Mari M Heltne,Knowledge-based Systems Support for Information Centers,,Journal of Management Information Systems,5,1,,,
199,J. Yannis and Erik Brynjolfsson and J. Yannis Bakos,"Information Technology, Incentives, and the Optimal Number of Suppliers",,Journal of Management Information Systems,10,2,,,
200,Shaila M Miranda and Robert P Bostrom,Meeting Facilitation: Process Versus Content Interventions,,Journal of Management Information Systems,15,4,,,
